person_income;person_emp_exp;loan_amnt;loan_intent;loan_int_rate;loan_percent_income;cb_person_cred_hist_length;credit_score;previous_loan_defaults_on_file;loan_status;tenure
80000;7;10000;EDUCATION;963;12;30;598;No;1;7
80000;0;10000;VENTURE;964;12;40;630;No;1;2
80000;5;10000;EDUCATION;964;12;40;631;No;1;6
80000;0;12000;MEDICAL;1426;15;20;687;No;1;6
80000;9;12000;PERSONAL;1273;15;90;580;No;1;3
80000;17;12350;VENTURE;1243;15;130;696;No;1;4
80000;15;12670;EDUCATION;1216;16;160;640;No;1;4
80000;0;14000;EDUCATION;1186;18;40;607;No;1;2
80000;30;14000;VENTURE;1101;18;280;632;No;1;8
80000;1;17830;VENTURE;1473;22;30;590;No;1;6
80000;0;18000;PERSONAL;1484;22;20;643;No;1;5
80000;15;18410;PERSONAL;1286;23;130;672;No;1;1
80000;15;20000;MEDICAL;1322;25;150;737;No;1;3
80000;1;24000;VENTURE;160;3;40;597;No;1;6
80000;0;27500;PERSONAL;1695;34;30;672;No;1;5
80370;10;32500;HOMEIMPROVEMENT;859;4;90;621;No;1;5
81040;16;13000;VENTURE;603;16;110;561;No;1;4
81860;0;16000;PERSONAL;1461;2;30;495;No;1;6
82480;8;30570;VENTURE;929;37;90;712;No;1;7
82670;5;10500;PERSONAL;1101;13;20;665;No;1;7
82770;1;11680;VENTURE;1178;14;30;600;No;1;7
83020;15;12730;VENTURE;636;15;110;589;No;1;4
85180;0;19350;VENTURE;1339;23;50;637;No;1;6
93640;0;24850;MEDICAL;1294;27;40;631;No;1;7
95950;11;9120;EDUCATION;1106;1;120;620;Yes;0;2
96050;0;25220;MEDICAL;127;26;30;705;No;1;5
96500;1;25000;VENTURE;1311;26;30;556;No;1;9
97320;0;10000;MEDICAL;1101;1;20;684;No;0;1
97990;0;12000;HOMEIMPROVEMENT;1348;12;40;611;No;1;5
98240;5;22000;VENTURE;991;22;90;676;No;1;1
98500;15;10000;VENTURE;1114;1;130;473;Yes;0;7
101610;2;5000;HOMEIMPROVEMENT;1071;5;30;544;Yes;0;5
102060;0;11960;EDUCATION;151;12;30;623;Yes;0;6
104190;2;27070;MEDICAL;1095;26;30;627;No;1;7
104820;3;10000;EDUCATION;1136;1;40;606;Yes;0;5
105100;24;16000;MEDICAL;1442;15;110;677;No;1;5
105530;3;12000;MEDICAL;1523;11;20;651;Yes;0;6
106060;0;28000;DEBTCONSOLIDATION;74;26;20;627;No;1;4
106070;0;24360;PERSONAL;969;23;20;555;No;1;3
106490;4;47500;HOMEIMPROVEMENT;1112;45;50;587;No;1;4
106590;0;30000;MEDICAL;788;28;20;601;No;1;4
106650;12;18520;MEDICAL;1095;17;70;655;No;1;2
106790;1;31460;EDUCATION;954;29;60;521;No;1;6
107150;3;10000;MEDICAL;100;9;40;608;Yes;0;5
107210;6;10000;EDUCATION;1136;9;40;630;No;0;5
107270;0;12000;MEDICAL;1523;11;20;656;Yes;0;2
107480;1;54000;VENTURE;775;5;40;678;No;1;2
107540;1;32500;EDUCATION;1101;3;40;694;No;1;4
107540;6;40000;EDUCATION;1101;37;70;633;No;1;2
107750;2;9220;MEDICAL;1011;9;40;629;Yes;0;4
108070;10;15330;EDUCATION;1413;14;50;698;No;1;6
108470;0;21000;MEDICAL;751;19;20;647;No;1;8
108910;8;27200;DEBTCONSOLIDATION;729;25;80;581;No;1;7
109190;1;21430;DEBTCONSOLIDATION;785;2;20;652;No;1;6
109510;0;15000;EDUCATION;1399;14;40;693;No;1;4
109530;0;27320;DEBTCONSOLIDATION;734;25;40;641;No;1;6
109560;0;24000;MEDICAL;991;22;20;580;No;1;8
109670;2;18590;MEDICAL;1159;17;20;684;No;1;5
110530;13;14920;EDUCATION;1258;13;70;637;No;1;3
111030;17;26350;DEBTCONSOLIDATION;1006;24;150;709;No;1;4
111120;8;25000;PERSONAL;714;22;80;639;No;1;3
111560;2;33430;EDUCATION;964;3;40;683;No;1;8
112400;0;14000;EDUCATION;1101;12;20;651;No;1;5
112500;8;35000;EDUCATION;729;31;30;661;No;1;5
112510;3;15000;EDUCATION;1399;13;20;515;No;1;5
113720;22;25000;DEBTCONSOLIDATION;1101;22;170;727;No;1;5
114090;3;30000;PERSONAL;749;26;70;651;No;1;5
114100;8;23400;MEDICAL;827;21;70;698;No;1;5
114270;7;45000;VENTURE;863;39;100;612;No;1;6
114700;2;20000;EDUCATION;1065;17;20;672;No;1;13
115820;0;20000;HOMEIMPROVEMENT;1335;17;20;516;No;1;8
117880;3;17500;PERSONAL;751;15;30;662;No;1;5
118270;5;30000;HOMEIMPROVEMENT;1025;25;60;580;No;1;7
118930;0;30000;HOMEIMPROVEMENT;1523;25;40;556;No;1;8
119530;0;20000;HOMEIMPROVEMENT;1599;17;30;675;No;1;7
121030;0;12000;EDUCATION;1037;1;20;671;No;0;8
121800;0;17290;EDUCATION;772;14;30;622;No;1;3
122310;0;17500;EDUCATION;894;14;20;707;No;1;6
122470;40;28000;DEBTCONSOLIDATION;1099;23;280;713;No;1;5
122540;2;29500;VENTURE;1749;24;20;613;No;1;7
122580;8;18000;PERSONAL;599;15;80;609;No;1;4
122650;14;32500;VENTURE;1149;26;150;645;No;1;2
122680;0;12000;MEDICAL;1523;1;20;686;Yes;0;6
122680;0;23750;MEDICAL;100;19;30;689;No;1;3
122720;3;21000;DEBTCONSOLIDATION;1221;17;30;599;No;1;3
122820;0;10000;EDUCATION;1114;8;20;504;Yes;0;3
123130;8;26000;DEBTCONSOLIDATION;1269;21;70;716;No;1;4
123270;2;12000;EDUCATION;1046;1;30;631;Yes;0;4
123740;1;21000;MEDICAL;1599;17;20;620;No;1;8
124090;0;17610;VENTURE;83;14;40;658;No;1;2
124240;3;10000;PERSONAL;849;8;40;586;No;1;9
124380;3;55000;MEDICAL;1287;44;30;635;No;1;6
124430;0;12000;VENTURE;1099;1;40;624;Yes;0;7
124770;10;15000;DEBTCONSOLIDATION;1273;12;90;647;No;1;2
124970;2;15610;VENTURE;1181;12;70;635;No;1;7
125050;1;15690;VENTURE;774;13;20;616;No;1;4
125190;3;16000;DEBTCONSOLIDATION;1036;13;20;635;No;1;8
125190;1;21000;DEBTCONSOLIDATION;1062;17;30;618;No;1;10
126180;1;32000;VENTURE;788;25;20;592;No;1;4
126220;3;13000;EDUCATION;1273;1;20;509;No;1;4
126440;26;27070;VENTURE;979;21;200;657;No;1;4
126520;0;50000;PERSONAL;1217;4;20;544;No;1;5
126620;8;15000;DEBTCONSOLIDATION;1273;12;80;643;No;1;4
126860;0;25000;HOMEIMPROVEMENT;1459;2;30;645;No;1;8
127040;1;12000;VENTURE;729;9;40;678;No;0;2
127230;0;46080;HOMEIMPROVEMENT;939;36;20;538;No;1;5
127390;0;16000;VENTURE;1474;13;30;640;No;1;3
127420;16;22000;EDUCATION;963;17;170;677;No;1;6
127690;0;15000;VENTURE;729;12;20;503;No;1;6
127720;0;35440;VENTURE;756;28;30;647;No;1;6
127750;3;17500;VENTURE;999;14;40;659;No;1;1
127970;4;30000;EDUCATION;1101;23;80;687;No;1;4
128130;2;40000;VENTURE;714;31;40;554;No;1;5
128210;0;17030;VENTURE;1357;13;30;552;No;1;3
128460;9;32500;EDUCATION;788;25;100;678;No;1;4
